-10,9.9996
-9.9,9.8996
-9.8,9.79961
-9.7,9.69961
-9.6,9.59962
-9.5,9.49962
-9.4,9.39962
-9.3,9.29963
-9.2,9.19963
-9.1,9.09964
-9,8.99964
-8.9,8.89964
-8.8,8.79965
-8.7,8.69965
-8.6,8.59966
-8.5,8.49966
-8.4,8.39966
-8.3,8.29967
-8.2,8.19967
-8.1,8.09968
-8,7.99968
-7.9,7.89968
-7.8,7.79969
-7.7,7.69969
-7.6,7.5997
-7.5,7.4997
-7.4,7.3997
-7.3,7.29971
-7.2,7.19971
-7.1,7.09972
-7,6.99972
-6.9,6.89972
-6.8,6.79973
-6.7,6.69973
-6.6,6.59974
-6.5,6.49974
-6.4,6.39974
-6.3,6.29975
-6.2,6.19975
-6.1,6.09976
-6,5.99976
-5.9,5.89976
-5.8,5.79977
-5.7,5.69977
-5.6,5.59978
-5.5,5.49978
-5.4,5.39978
-5.3,5.29979
-5.2,5.19979
-5.1,5.0998
-5,4.9998
-4.9,4.8998
-4.8,4.79981
-4.7,4.69981
-4.6,4.59982
-4.5,4.49982
-4.4,4.39982
-4.3,4.29983
-4.2,4.19983
-4.1,4.09984
-4,3.99984
-3.9,3.89984
-3.8,3.79985
-3.7,3.69985
-3.6,3.59986
-3.5,3.49986
-3.4,3.39986
-3.3,3.29987
-3.2,3.19987
-3.1,3.09988
-3,2.99988
-2.9,2.89988
-2.8,2.79989
-2.7,2.69989
-2.6,2.5999
-2.5,2.4999
-2.4,2.3999
-2.3,2.29991
-2.2,2.19991
-2.1,2.09992
-2,1.99992
-1.9,1.89992
-1.8,1.79993
-1.7,1.69993
-1.6,1.59994
-1.5,1.49994
-1.4,1.39994
-1.3,1.29995
-1.2,1.19995
-1.1,1.09996
-1,0.99996
-0.9,0.899964
-0.8,0.799968
-0.7,0.699972
-0.6,0.599976
-0.5,0.49998
-0.4,0.399984
-0.3,0.299988
-0.2,0.199992
-0.1,0.099996
-1.87905e-14,1.88245e-14
0.1,0.099996
0.2,0.199992
0.3,0.299988
0.4,0.399984
0.5,0.49998
0.6,0.599976
0.7,0.699972
0.8,0.799968
0.9,0.899964
1,0.99996
1.1,1.09996
1.2,1.19995
1.3,1.29995
1.4,1.39994
1.5,1.49994
1.6,1.59994
1.7,1.69993
1.8,1.79993
1.9,1.89992
2,1.99992
2.1,2.09992
2.2,2.19991
2.3,2.29991
2.4,2.3999
2.5,2.4999
2.6,2.5999
2.7,2.69989
2.8,2.79989
2.9,2.89988
3,2.99988
3.1,3.09987
3.2,3.19987
3.3,3.29987
3.4,3.39986
3.5,3.49986
3.6,3.59985
3.7,3.69985
3.8,3.79985
3.9,3.89984
4,3.99984
4.1,4.09983
4.2,4.19983
4.3,4.29983
4.4,4.39982
4.5,4.49982
4.6,4.59981
4.7,4.69981
4.8,4.79981
4.9,4.8998
5,4.9998
5.1,5.09979
5.2,5.19979
5.3,5.29979
5.4,5.39978
5.5,5.49978
5.6,5.59977
5.7,5.69977
5.8,5.79977
5.9,5.89976
6,5.99976
6.1,6.09975
6.2,6.19975
6.3,6.29975
6.4,6.39974
6.5,6.49974
6.6,6.59973
6.7,6.69973
6.8,6.79973
6.9,6.89972
7,6.99972
7.1,7.09971
7.2,7.19971
7.3,7.29971
7.4,7.3997
7.5,7.4997
7.6,7.59969
7.7,7.69969
7.8,7.79969
7.9,7.89968
8,7.99968
8.1,8.09967
8.2,8.19967
8.3,8.29967
8.4,8.39966
8.5,8.49966
8.6,8.59965
8.7,8.69965
8.8,8.79964
8.9,8.89964
9,8.99964
9.1,9.09963
9.2,9.19963
9.3,9.29962
9.4,9.39962
9.5,9.49962
9.6,9.59961
9.7,9.69961
9.8,9.7996
9.9,9.8996
10,9.9996
